datetime,Direction,Price,ReserveType
2024-01-03 05:30:00+01:00,Down,-246.76,aFRR
2024-01-03 05:30:00+01:00,Up,84.51,aFRR
2024-01-03 05:45:00+01:00,Down,-23.34,aFRR
2024-01-03 05:45:00+01:00,Up,84.51,aFRR
2024-01-03 06:00:00+01:00,Down,-265.63,aFRR
2024-01-03 06:00:00+01:00,Up,57.32,aFRR
2024-01-03 06:15:00+01:00,Down,-28.57,aFRR
2024-01-03 06:15:00+01:00,Up,0.0,aFRR
2024-01-03 06:30:00+01:00,Down,-8.81,aFRR
2024-01-03 06:30:00+01:00,Up,0.0,aFRR
2024-01-03 06:45:00+01:00,Down,0.0,aFRR
2024-01-03 06:45:00+01:00,Up,0.0,aFRR
2024-01-03 07:00:00+01:00,Up,0.0,aFRR
2024-01-03 07:00:00+01:00,Down,-17.99,aFRR
2024-01-03 07:15:00+01:00,Up,0.0,aFRR
2024-01-03 07:15:00+01:00,Down,-26.29,aFRR
2024-01-03 07:30:00+01:00,Up,79.22,aFRR
2024-01-03 07:30:00+01:00,Down,-32.87,aFRR
2024-01-03 07:45:00+01:00,Up,73.96,aFRR
2024-01-03 07:45:00+01:00,Down,-21.25,aFRR
2024-01-03 08:00:00+01:00,Down,-86.57,aFRR
2024-01-03 08:00:00+01:00,Up,83.56,aFRR
2024-01-03 08:15:00+01:00,Up,86.95,aFRR
2024-01-03 08:15:00+01:00,Down,0.0,aFRR
2024-01-03 08:30:00+01:00,Down,0.0,aFRR
2024-01-03 08:30:00+01:00,Up,0.0,aFRR
2024-01-03 08:45:00+01:00,Up,0.0,aFRR
2024-01-03 08:45:00+01:00,Down,63.29,aFRR
2024-01-03 09:00:00+01:00,Up,0.0,aFRR
2024-01-03 09:00:00+01:00,Down,62.32,aFRR
2024-01-03 09:15:00+01:00,Down,62.32,aFRR
2024-01-03 09:15:00+01:00,Up,0.0,aFRR
2024-01-03 09:30:00+01:00,Down,-8.81,aFRR
2024-01-03 09:30:00+01:00,Up,0.0,aFRR
2024-01-03 09:45:00+01:00,Up,79.29,aFRR
2024-01-03 09:45:00+01:00,Down,-30.32,aFRR
2024-01-03 10:00:00+01:00,Down,-17.95,aFRR
2024-01-03 10:00:00+01:00,Up,82.69,aFRR
2024-01-03 10:15:00+01:00,Down,-17.88,aFRR
2024-01-03 10:15:00+01:00,Up,73.19,aFRR
2024-01-03 10:30:00+01:00,Up,73.19,aFRR
2024-01-03 10:30:00+01:00,Down,-24.8,aFRR
2024-01-03 10:45:00+01:00,Up,0.0,aFRR
2024-01-03 10:45:00+01:00,Down,-8.81,aFRR
2024-01-03 11:00:00+01:00,Down,61.83,aFRR
2024-01-03 11:00:00+01:00,Up,0.0,aFRR
